,Date,CPI
0,1952-01-01,31.2
1,1952-02-01,30.7
2,1952-03-01,30.7
3,1952-04-01,30.8
4,1952-05-01,30.8
5,1952-06-01,30.6
6,1952-07-01,30.8
7,1952-08-01,30.9
8,1952-09-01,30.8
9,1952-10-01,30.8
10,1952-11-01,31.2
11,1952-12-01,30.9
12,1953-01-01,30.6
13,1953-02-01,30.2
14,1953-03-01,30.3
15,1953-04-01,30.1
16,1953-05-01,30.1
17,1953-06-01,30.4
18,1953-07-01,30.1
19,1953-08-01,30.3
20,1953-09-01,30.4
21,1953-10-01,30.4
22,1953-11-01,30.2
23,1953-12-01,30.3
24,1954-01-01,30.5
25,1954-02-01,30.4
26,1954-03-01,30.3
27,1954-04-01,30.3
28,1954-05-01,30.4
29,1954-06-01,30.2
30,1954-07-01,30.2
31,1954-08-01,30.1
32,1954-09-01,29.8
33,1954-10-01,29.8
34,1954-11-01,29.9
35,1954-12-01,29.6
36,1955-01-01,29.6
37,1955-02-01,29.8
38,1955-03-01,29.8
39,1955-04-01,29.8
40,1955-05-01,29.6
41,1955-06-01,29.4
42,1955-07-01,29.4
43,1955-08-01,29.3
44,1955-09-01,29.5
45,1955-10-01,29.4
46,1955-11-01,29.3
47,1955-12-01,29.3
48,1956-01-01,29.1
49,1956-02-01,29.1
50,1956-03-01,29.1
51,1956-04-01,29.2
52,1956-05-01,29.4
53,1956-06-01,29.9
54,1956-07-01,30.1
55,1956-08-01,29.9
56,1956-09-01,29.9
57,1956-10-01,30.0
58,1956-11-01,30.1
59,1956-12-01,30.1
60,1957-01-01,30.1
61,1957-02-01,30.4
62,1957-03-01,30.2
63,1957-04-01,30.3
64,1957-05-01,30.4
65,1957-06-01,30.6
66,1957-07-01,30.8
67,1957-08-01,31.2
68,1957-09-01,30.9
69,1957-10-01,30.8
70,1957-11-01,30.8
71,1957-12-01,30.9
72,1958-01-01,31.6
73,1958-02-01,31.8
74,1958-03-01,32.4
75,1958-04-01,32.5
76,1958-05-01,32.4
77,1958-06-01,32.2
78,1958-07-01,32.0
79,1958-08-01,32.0
80,1958-09-01,31.8
81,1958-10-01,31.7
82,1958-11-01,31.8
83,1958-12-01,31.6
84,1959-01-01,31.7
85,1959-02-01,31.4
86,1959-03-01,31.2
87,1959-04-01,31.1
88,1959-05-01,31.0
89,1959-06-01,31.2
90,1959-07-01,31.2
91,1959-08-01,31.1
92,1959-09-01,31.1
93,1959-10-01,31.2
94,1959-11-01,31.1
95,1959-12-01,31.1
96,1960-01-01,31.0
97,1960-02-01,30.9
98,1960-03-01,31.0
99,1960-04-01,31.4
100,1960-05-01,31.5
101,1960-06-01,31.5
102,1960-07-01,31.4
103,1960-08-01,31.5
104,1960-09-01,31.5
105,1960-10-01,31.8
106,1960-11-01,32.0
107,1960-12-01,32.1
108,1961-01-01,32.0
109,1961-02-01,32.0
110,1961-03-01,32.0
111,1961-04-01,31.9
112,1961-05-01,31.8
113,1961-06-01,31.6
114,1961-07-01,31.7
115,1961-08-01,31.7
116,1961-09-01,31.7
117,1961-10-01,31.7
118,1961-11-01,31.5
119,1961-12-01,31.6
120,1962-01-01,31.7
