Date,CPI
1995-01,147.0
1995-02,147.7
1995-03,147.1
1995-04,148.7
1995-05,148.7
1995-06,148.7
1995-07,148.8
1995-08,148.8
1995-09,149.5
1995-10,149.9
1995-11,149.8
1995-12,150.3
1996-01,150.9
1996-02,151.3
1996-03,152.2
1996-04,152.9
1996-05,152.5
1996-06,153.9
1996-07,154.4
1996-08,155.0
1996-09,155.9
1996-10,156.9
1996-11,157.6
1996-12,157.7
1997-01,156.9
1997-02,157.7
1997-03,157.6
1997-04,157.3
1997-05,157.5
1997-06,157.7
1997-07,157.9
1997-08,158.6
1997-09,158.8
1997-10,159.0
1997-11,159.3
1997-12,159.3
1998-01,160.3
1998-02,160.0
1998-03,160.2
1998-04,160.2
1998-05,160.8
1998-06,160.5
1998-07,160.9
1998-08,161.4
1998-09,161.2
1998-10,162.5
1998-11,162.7
1998-12,162.8
1999-01,163.4
1999-02,163.8
1999-03,163.4
1999-04,163.6
1999-05,164.0
1999-06,163.9
1999-07,163.9
1999-08,164.1
1999-09,164.7
1999-10,165.1
1999-11,165.4
1999-12,165.5
2000-01,165.3
2000-02,166.1
2000-03,166.4
2000-04,166.6
2000-05,167.4
2000-06,167.5
2000-07,168.5
2000-08,169.0
2000-09,169.1
2000-10,169.0
2000-11,169.2
2000-12,170.2
2001-01,170.4
2001-02,171.6
2001-03,172.1
2001-04,172.5
2001-05,172.8
2001-06,173.5
2001-07,174.0
2001-08,174.4
2001-09,174.4
2001-10,175.1
2001-11,175.1
2001-12,174.7
2002-01,175.4
2002-02,175.7
2002-03,176.2
2002-04,176.7
2002-05,175.5
2002-06,175.2
2002-07,175.3
2002-08,175.1
2002-09,175.4
2002-10,175.0
2002-11,175.7
2002-12,175.9
2003-01,176.0
2003-02,177.2
2003-03,177.5
2003-04,177.6
2003-05,177.9
2003-06,179.2
2003-07,179.0
2003-08,180.0
2003-09,180.5
2003-10,181.4
2003-11,182.7
2003-12,183.9
2004-01,183.3
2004-02,183.7
2004-03,184.1
2004-04,184.3
2004-05,186.6
2004-06,187.0
2004-07,187.2
2004-08,187.0
2004-09,186.4
2004-10,187.7
2004-11,188.6
2004-12,188.4
2005-01,188.1
2005-02,187.7
2005-03,188.1
2005-04,190.0
2005-05,190.2
2005-06,189.6
2005-07,190.0
2005-08,189.8
2005-09,190.2
2005-10,190.6
2005-11,191.4
2005-12,191.7
2006-01,192.5
2006-02,192.2
2006-03,192.3
2006-04,191.8
2006-05,191.8
2006-06,192.4
2006-07,192.8
2006-08,193.4
2006-09,194.3
2006-10,194.8
2006-11,194.6
2006-12,194.4
2007-01,195.918
2007-02,197.735
2007-03,198.816
2007-04,199.25
2007-05,200.237
2007-06,201.151
2007-07,201.596
2007-08,202.338
2007-09,203.3
2007-10,204.081
2007-11,205.119
2007-12,205.503
2008-01,207.1
2008-02,207.854
2008-03,208.093
2008-04,210.897
2008-05,211.8
2008-06,213.331
2008-07,216.028
2008-08,217.449
2008-09,218.757
2008-10,219.532
2008-11,219.662
2008-12,219.163
2009-01,218.953
2009-02,217.93
2009-03,216.949
2009-04,215.807
2009-05,215.064
2009-06,214.953
2009-07,214.047
2009-08,213.769
2009-09,213.299
2009-10,213.472
2009-11,213.383
2009-12,213.839
2010-01,214.738
2010-02,214.728
2010-03,215.55
2010-04,215.721
2010-05,215.717
2010-06,215.476
2010-07,215.451
2010-08,215.361
2010-09,216.166
2010-10,216.534
2010-11,217.105
2010-12,217.419
2011-01,219.251
2011-02,220.732
2011-03,223.193
2011-04,224.098
2011-05,225.295
2011-06,225.857
2011-07,227.178
2011-08,228.492
2011-09,229.927
2011-10,229.992
2011-11,229.947
2011-12,230.424
2012-01,230.948
2012-02,230.612
2012-03,231.051
2012-04,231.397
2012-05,231.32
2012-06,231.713
2012-07,231.658
2012-08,231.853
2012-09,231.789
2012-10,232.398
2012-11,232.883
2012-12,233.374
2013-01,233.696
2013-02,233.526
2013-03,233.58
2013-04,233.776
2013-05,233.184
2013-06,233.809
2013-07,233.893
2013-08,234.073
2013-09,234.04
2013-10,234.219
2013-11,234.144
2013-12,234.318
2014-01,234.722
2014-02,235.781
2014-03,237.055
2014-04,237.942
2014-05,239.611
