Date,A1,A2,A3,R1,R2,R3,M1,M2,M3,P1,P2,P3,D1,CPI
1995-01,1.13,1.1072000000000002,1.2282,1.0817999999999999,1.0662,1.1663999999999999,1.1736,1.1612,1.2968,1.2748,1.2532,1.3812,1.0982,147.0
1995-02,1.12025,1.099,1.215,1.0725,1.058,1.1555,1.16475,1.15275,1.28225,1.2647499999999998,1.2445,1.365,1.08775,147.7
1995-03,1.1185,1.099,1.2025000000000001,1.072,1.05925,1.142,1.16125,1.15225,1.2687499999999998,1.258,1.23975,1.35275,1.0875,147.1
1995-04,1.15725,1.143,1.21275,1.11125,1.1035,1.15625,1.19875,1.1945000000000001,1.277,1.29475,1.28325,1.36125,1.104,148.7
1995-05,1.2251999999999998,1.2128,1.2704,1.1784000000000001,1.1724,1.216,1.2684,1.2662,1.3316000000000001,1.3641999999999999,1.3568,1.4158,1.125,148.7
1995-06,1.2385000000000002,1.22625,1.28525,1.1915,1.186,1.23425,1.28275,1.28025,1.34575,1.37875,1.3715,1.43175,1.1187500000000001,148.7
1995-07,1.2007999999999999,1.1885999999999999,1.2578,1.1538,1.1480000000000001,1.205,1.2446,1.2422,1.3226,1.3416000000000001,1.3338,1.4064,1.0998,148.8
1995-08,1.17,1.16075,1.21825,1.12325,1.12,1.164,1.21275,1.21275,1.28475,1.311,1.30575,1.3682500000000002,1.105,148.8
1995-09,1.15775,1.148,1.203,1.11075,1.1075,1.1469999999999998,1.20025,1.2,1.2675,1.29775,1.29175,1.3562500000000002,1.11925,149.5
1995-10,1.1336,1.1216,1.1924,1.0872,1.0816000000000001,1.1324,1.1748,1.1725999999999999,1.2566,1.2728,1.264,1.3448,1.115,149.9
1995-11,1.1085,1.0975000000000001,1.16525,1.06225,1.058,1.10375,1.1505,1.148,1.234,1.24675,1.2405,1.312,1.11975,149.8
1995-12,1.1175000000000002,1.1047500000000001,1.167,1.07125,1.0655000000000001,1.11,1.1604999999999999,1.15475,1.23425,1.25525,1.2462499999999999,1.3125,1.1295,150.3
1996-01,1.1368,1.1228000000000002,1.1844000000000001,1.0904,1.0836000000000001,1.129,1.1785999999999999,1.1718,1.2491999999999999,1.276,1.2650000000000001,1.3316000000000001,1.1451999999999998,150.9
1996-02,1.1355,1.1207500000000001,1.1864999999999999,1.08925,1.0815000000000001,1.1292499999999999,1.17875,1.17075,1.25525,1.274,1.262,1.33375,1.14475,151.3
