year,month,,Date,all_grades_all_formulation,all_grades_conventional,all_grades_refomulated,regular_all_formulation,regular_conventional,regular_reformulated,midgrade_all_formulation,midgrade_conventional,midgrade_reformulated,premium_all_formulation,premium_conventional,premium_reformulated,no_2_diesel
1995,1,0,1995-01-02,1.127,1.104,1.231,1.079,1.063,1.167,1.17,1.159,1.298,1.272,1.25,1.386,1.104
1995,2,5,1995-02-06,1.124,1.103,1.218,1.076,1.062,1.159,1.169,1.157,1.288,1.27,1.25,1.368,1.086
1995,3,9,1995-03-06,1.123,1.103,1.209,1.076,1.063,1.149,1.167,1.157,1.275,1.263,1.244,1.358,1.089
1995,4,13,1995-04-03,1.133,1.116,1.198,1.087,1.077,1.14,1.174,1.167,1.266,1.27,1.255,1.35,1.094
1995,5,17,1995-05-01,1.194,1.181,1.242,1.148,1.141,1.188,1.236,1.234,1.305,1.332,1.323,1.389,1.119
1995,6,22,1995-06-05,1.246,1.234,1.289,1.199,1.194,1.238,1.29,1.288,1.349,1.386,1.38,1.434,1.124
1995,7,26,1995-07-03,1.222,1.209,1.275,1.175,1.169,1.223,1.266,1.262,1.337,1.362,1.354,1.423,1.106
1995,8,31,1995-08-07,1.174,1.164,1.229,1.127,1.124,1.174,1.217,1.216,1.296,1.316,1.309,1.379,1.099
1995,9,35,1995-09-04,1.16,1.151,1.209,1.113,1.111,1.152,1.202,1.202,1.277,1.3,1.294,1.362,1.115
1995,10,39,1995-10-02,1.151,1.14,1.2,1.105,1.1,1.142,1.192,1.191,1.262,1.29,1.282,1.352,1.117
1995,11,44,1995-11-06,1.112,1.1,1.171,1.065,1.06,1.11,1.153,1.151,1.24,1.252,1.245,1.318,1.118
1995,12,48,1995-12-04,1.108,1.097,1.16,1.062,1.058,1.101,1.151,1.147,1.229,1.246,1.238,1.307,1.123
1996,1,52,1996-01-01,1.129,1.116,1.178,1.083,1.077,1.122,1.171,1.164,1.244,1.268,1.258,1.326,1.148
1996,2,57,1996-02-05,1.13,1.115,1.182,1.083,1.076,1.126,1.172,1.164,1.25,1.269,1.258,1.331,1.13
1996,3,61,1996-03-04,1.17,1.155,1.213,1.124,1.115,1.158,1.213,1.205,1.279,1.308,1.297,1.355,1.175
